1;16.06.2020;18.00;Rosenborg;0 - 0;Kristiansund
1;16.06.2020;18.00;Odd;1 - 2;Sandefjord Fotball
1;16.06.2020;18.00;Viking;2 - 4;Bodø/Glimt
1;16.06.2020;18.00;Stabæk;0 - 0;Mjøndalen
1;16.06.2020;18.00;Aalesund;1 - 4;Molde
1;16.06.2020;20.30;Sarpsborg 08;0 - 1;Vålerenga
1;17.06.2020;18.00;Start;2 - 2;Strømsgodset
1;17.06.2020;20.30;Haugesund;1 - 2;Brann
2;20.06.2020;18.00;Mjøndalen;1 - 0;Sarpsborg 08
2;20.06.2020;20.30;Molde;1 - 0;Rosenborg
2;21.06.2020;18.00;Bodø/Glimt;6 - 1;Haugesund
2;21.06.2020;18.00;Kristiansund;7 - 2;Aalesund
2;21.06.2020;18.00;Vålerenga;2 - 2;Stabæk
2;21.06.2020;18.00;Strømsgodset;1 - 0;Odd
2;21.06.2020;18.00;Sandefjord Fotball;2 - 2;Start
2;21.06.2020;20.30;Brann;3 - 0;Viking
3;24.06.2020;18.00;Viking;1 - 1;Mjøndalen
3;24.06.2020;18.00;Haugesund;2 - 2;Kristiansund
3;24.06.2020;18.00;Stabæk;2 - 0;Sandefjord Fotball
3;24.06.2020;18.00;Aalesund;2 - 2;Brann
3;24.06.2020;18.00;Start;2 - 3;Molde
3;24.06.2020;20.30;Odd;4 - 1;Vålerenga
3;25.06.2020;18.00;Sarpsborg 08;2 - 3;Strømsgodset
3;25.06.2020;20.30;Rosenborg;2 - 3;Bodø/Glimt
4;27.06.2020;18.00;Start;0 - 5;Odd
4;27.06.2020;20.30;Vålerenga;2 - 1;Viking
4;28.06.2020;18.00;Molde;4 - 1;Stabæk
4;28.06.2020;18.00;Bodø/Glimt;2 - 1;Sarpsborg 08
4;28.06.2020;18.00;Strømsgodset;1 - 1;Aalesund
4;28.06.2020;18.00;Mjøndalen;1 - 2;Kristiansund
4;28.06.2020;18.00;Sandefjord Fotball;0 - 1;Haugesund
4;28.06.2020;20.30;Brann;1 - 2;Rosenborg
5;01.07.2020;18.00;Aalesund;1 - 3;Mjøndalen
5;01.07.2020;18.00;Odd;0 - 4;Bodø/Glimt
5;01.07.2020;18.00;Viking;2 - 0;Sandefjord Fotball
5;01.07.2020;18.00;Stabæk;2 - 0;Strømsgodset
5;01.07.2020;18.00;Haugesund;1 - 0;Start
5;01.07.2020;20.30;Rosenborg;1 - 1;Vålerenga
5;02.07.2020;18.00;Kristiansund;2 - 2;Molde
5;02.07.2020;20.30;Sarpsborg 08;0 - 1;Brann
6;04.07.2020;18.00;Start;1 - 1;Viking
6;04.07.2020;20.30;Vålerenga;2 - 2;Aalesund
6;05.07.2020;18.00;Molde;2 - 1;Mjøndalen
6;05.07.2020;18.00;Bodø/Glimt;5 - 0;Brann
6;05.07.2020;18.00;Odd;0 - 0;Haugesund
6;05.07.2020;18.00;Strømsgodset;2 - 2;Kristiansund
6;05.07.2020;18.00;Sandefjord Fotball;0 - 3;Sarpsborg 08
6;05.07.2020;20.30;Stabæk;0 - 3;Rosenborg
7;11.07.2020;18.00;Haugesund;0 - 3;Molde
7;11.07.2020;20.30;Rosenborg;3 - 0;Strømsgodset
7;12.07.2020;18.00;Viking;1 - 2;Odd
7;12.07.2020;18.00;Kristiansund;1 - 2;Stabæk
7;12.07.2020;18.00;Sarpsborg 08;1 - 0;Start
7;12.07.2020;18.00;Mjøndalen;0 - 1;Vålerenga
7;12.07.2020;18.00;Aalesund;1 - 6;Bodø/Glimt
7;12.07.2020;20.30;Brann;3 - 1;Sandefjord Fotball
8;15.07.2020;18.00;Vålerenga;1 - 0;Haugesund
8;15.07.2020;18.00;Strømsgodset;2 - 1;Mjøndalen
8;15.07.2020;18.00;Sandefjord Fotball;1 - 0;Aalesund
8;15.07.2020;18.00;Bodø/Glimt;2 - 1;Kristiansund
8;15.07.2020;18.00;Molde;5 - 0;Viking
8;15.07.2020;20.30;Odd;1 - 0;Brann
8;16.07.2020;18.00;Stabæk;1 - 1;Sarpsborg 08
8;16.07.2020;20.30;Start;0 - 0;Rosenborg
9;18.07.2020;18.00;Mjøndalen;2 - 3;Bodø/Glimt
9;18.07.2020;20.30;Haugesund;0 - 2;Viking
9;19.07.2020;18.00;Rosenborg;2 - 1;Sandefjord Fotball
9;19.07.2020;18.00;Kristiansund;0 - 0;Vålerenga
9;19.07.2020;18.00;Strømsgodset;0 - 4;Molde
9;19.07.2020;18.00;Sarpsborg 08;2 - 0;Odd
9;19.07.2020;18.00;Aalesund;1 - 3;Stabæk
9;19.07.2020;20.30;Brann;1 - 1;Start
10;25.07.2020;18.00;Odd;3 - 2;Aalesund
10;25.07.2020;20.30;Brann;1 - 1;Kristiansund
10;26.07.2020;18.00;Vålerenga;2 - 0;Strømsgodset
10;26.07.2020;18.00;Sandefjord Fotball;1 - 0;Mjøndalen
10;26.07.2020;18.00;Start;0 - 0;Stabæk
10;26.07.2020;18.00;Bodø/Glimt;3 - 1;Molde
10;26.07.2020;18.00;Viking;3 - 0;Sarpsborg 08
10;26.07.2020;20.30;Haugesund;1 - 0;Rosenborg
11;29.07.2020;18.00;Strømsgodset;3 - 1;Brann
11;29.07.2020;18.00;Sarpsborg 08;0 - 0;Haugesund
11;29.07.2020;18.00;Mjøndalen;0 - 2;Odd
11;29.07.2020;18.00;Aalesund;3 - 2;Start
11;29.07.2020;18.00;Kristiansund;3 - 1;Sandefjord Fotball
11;29.07.2020;20.30;Molde;4 - 1;Vålerenga
11;30.07.2020;18.00;Stabæk;2 - 2;Bodø/Glimt
11;30.07.2020;20.30;Rosenborg;3 - 0;Viking
12;01.08.2020;18.00;Sandefjord Fotball;2 - 1;Molde
12;01.08.2020;20.30;Brann;1 - 2;Vålerenga
12;02.08.2020;18.00;Bodø/Glimt;3 - 2;Strømsgodset
12;02.08.2020;18.00;Sarpsborg 08;4 - 0;Aalesund
12;02.08.2020;18.00;Viking;1 - 2;Kristiansund
12;02.08.2020;18.00;Haugesund;3 - 1;Stabæk
12;02.08.2020;18.00;Start;3 - 0;Mjøndalen
12;02.08.2020;20.30;Odd;2 - 1;Rosenborg
13;08.08.2020;18.00;Vålerenga;2 - 2;Bodø/Glimt
13;09.08.2020;18.00;Strømsgodset;3 - 4;Sandefjord Fotball
13;09.08.2020;18.00;Mjøndalen;1 - 0;Haugesund
13;09.08.2020;18.00;Aalesund;2 - 2;Viking
13;09.08.2020;18.00;Kristiansund;3 - 2;Start
