1;03.07.2020;19.45;Rosenborg;1 - 1;LSK Kvinner
1;04.07.2020;11.30;Røa Fotball Elite;0 - 1;Arna-Bjørnar
1;04.07.2020;13.00;Avaldsnes;5 - 2;Lyn
1;04.07.2020;14.00;Sandviken;3 - 2;Vålerenga
1;05.07.2020;15.00;Klepp;0 - 0;Kolbotn
2;10.07.2020;19.00;Kolbotn;2 - 2;Avaldsnes
2;10.07.2020;19.45;Vålerenga;2 - 0;Røa Fotball Elite
2;11.07.2020;14.00;Arna-Bjørnar;0 - 1;Klepp
2;11.07.2020;14.00;Lyn;1 - 4;Rosenborg
2;12.07.2020;15.30;LSK Kvinner;1 - 0;Sandviken
3;17.07.2020;19.45;Røa Fotball Elite;1 - 5;LSK Kvinner
3;18.07.2020;14.00;Klepp;1 - 2;Vålerenga
3;18.07.2020;14.00;Sandviken;1 - 1;Lyn
3;18.07.2020;15.00;Avaldsnes;1 - 0;Arna-Bjørnar
3;19.07.2020;16.00;Rosenborg;3 - 1;Kolbotn
4;24.07.2020;19.45;Vålerenga;2 - 1;Avaldsnes
4;25.07.2020;11.30;Røa Fotball Elite;2 - 3;Sandviken
4;25.07.2020;14.00;Lyn;1 - 0;Kolbotn
4;25.07.2020;15.00;Arna-Bjørnar;1 - 2;Rosenborg
4;26.07.2020;15.00;LSK Kvinner;3 - 0;Klepp
5;01.08.2020;13.30;Arna-Bjørnar;0 - 3;Vålerenga
5;01.08.2020;14.00;Lyn;2 - 3;LSK Kvinner
5;01.08.2020;15.00;Kolbotn;2 - 1;Røa Fotball Elite
5;02.08.2020;13.00;Rosenborg;1 - 1;Klepp
5;02.08.2020;16.00;Avaldsnes;1 - 3;Sandviken
6;07.08.2020;18.00;Røa Fotball Elite;0 - 1;Avaldsnes
6;07.08.2020;18.00;Vålerenga;1 - 1;Kolbotn
6;08.08.2020;14.00;Klepp;1 - 0;Lyn
6;08.08.2020;15.00;Sandviken;1 - 3;Rosenborg
6;09.08.2020;16.00;LSK Kvinner;2 - 1;Arna-Bjørnar
7;15.08.2020;13.00;Arna-Bjørnar;2 - 1;Lyn
7;15.08.2020;15.00;Klepp;0 - 1;Røa Fotball Elite
7;15.08.2020;17.00;Avaldsnes;1 - 0;LSK Kvinner
7;16.08.2020;16.00;Kolbotn;1 - 3;Sandviken
7;16.08.2020;17.00;Rosenborg;0 - 0;Vålerenga
8;22.08.2020;12.00;Kolbotn;2 - 3;Arna-Bjørnar
8;22.08.2020;14.00;Lyn;1 - 1;Røa Fotball Elite
8;22.08.2020;15.00;Avaldsnes;1 - 1;Rosenborg
8;22.08.2020;15.00;LSK Kvinner;1 - 3;Vålerenga
8;22.08.2020;15.00;Sandviken;2 - 1;Klepp
9;26.08.2020;18.00;Røa Fotball Elite;2 - 3;Rosenborg
9;26.08.2020;19.00;Arna-Bjørnar;0 - 1;Sandviken
9;26.08.2020;19.00;LSK Kvinner;3 - 1;Kolbotn
9;26.08.2020;19.00;Vålerenga;2 - 0;Lyn
9;26.08.2020;20.00;Klepp;1 - 2;Avaldsnes
10;29.08.2020;13.00;Avaldsnes;4 - 0;Røa Fotball Elite
10;30.08.2020;13.30;Rosenborg;1 - 1;Arna-Bjørnar
10;30.08.2020;15.00;Kolbotn;0 - 0;Vålerenga
10;30.08.2020;15.00;Lyn;1 - 3;Klepp
10;30.08.2020;16.00;Sandviken;0 - 1;LSK Kvinner
11;05.09.2020;15.00;Arna-Bjørnar;0 - 2;Avaldsnes
11;05.09.2020;15.00;LSK Kvinner;0 - 1;Rosenborg
11;05.09.2020;15.00;Røa Fotball Elite;1 - 0;Klepp
11;05.09.2020;16.30;Vålerenga;2 - 0;Sandviken
11;06.09.2020;16.00;Kolbotn;1 - 0;Lyn
12;12.09.2020;14.00;Arna-Bjørnar;2 - 1;Kolbotn
12;12.09.2020;15.00;Avaldsnes;0 - 0;Vålerenga
12;12.09.2020;15.00;Rosenborg;2 - 0;Røa Fotball Elite
12;12.09.2020;16.30;Lyn;2 - 0;Sandviken
12;12.09.2020;17.00;Klepp;2 - 3;LSK Kvinner
13;26.09.2020;15.00;Kolbotn;2 - 2;Rosenborg
13;26.09.2020;15.00;LSK Kvinner;2 - 0;Røa Fotball Elite
13;27.09.2020;15.00;Lyn;1 - 1;Avaldsnes
13;27.09.2020;15.00;Vålerenga;7 - 0;Klepp
13;27.09.2020;16.00;Sandviken;2 - 0;Arna-Bjørnar
14;12.08.2020;18.00;Røa Fotball Elite;1 - 2;Vålerenga
14;03.10.2020;14.00;Arna-Bjørnar;1 - 0;LSK Kvinner
14;03.10.2020;15.00;Avaldsnes;2 - 1;Kolbotn
14;03.10.2020;15.00;Klepp;3 - 2;Sandviken
14;04.10.2020;16.00;Rosenborg;3 - 0;Lyn
15;16.10.2020;19.00;LSK Kvinner;1 - 3;Avaldsnes
15;17.10.2020;13.30;Sandviken;2 - 2;Røa Fotball Elite
15;18.10.2020;13.00;Kolbotn;2 - 2;Klepp
15;18.10.2020;13.30;Lyn;4 - 0;Arna-Bjørnar
15;18.10.2020;16.00;Vålerenga;1 - 1;Rosenborg
16;31.10.2020;13.00;Klepp;2 - 1;Arna-Bjørnar
16;31.10.2020;13.00;Røa Fotball Elite;1 - 3;Lyn
16;31.10.2020;14.00;Sandviken;1 - 0;Kolbotn
16;01.11.2020;13.00;Rosenborg;3 - 1;Avaldsnes
16;01.11.2020;16.00;Vålerenga;4 - 2;LSK Kvinner
17;07.11.2020;13.00;Arna-Bjørnar;0 - 0;Røa Fotball Elite
17;07.11.2020;13.00;Avaldsnes;3 - 0;Klepp
17;07.11.2020;13.00;Kolbotn;1 - 1;LSK Kvinner
17;07.11.2020;13.00;Lyn;3 - 2;Vålerenga
17;07.11.2020;13.00;Rosenborg;1 - 1;Sandviken
18;15.11.2020;13.00;Røa Fotball Elite;2 - 0;Kolbotn
18;06.12.2020;13.00;Klepp;1 - 2;Rosenborg
18;06.12.2020;13.00;LSK Kvinner;0 - 1;Lyn
18;06.12.2020;13.00;Sandviken;4 - 0;Avaldsnes
18;06.12.2020;13.00;Vålerenga;4 - 0;Arna-Bjørnar
