1;17.04.2018;18.00;Moss;4 - 0;Kråkerøy
1;18.04.2018;16.00;Bjørnevatn;0 - 3;Alta
1;18.04.2018;16.30;Harstad;5 - 3;Mosjøen IL
1;18.04.2018;18.00;Kvik Halden;0 - 4;Fredrikstad
1;18.04.2018;18.00;Østsiden;2 - 9;Sarpsborg 08
1;18.04.2018;18.00;Årvoll;0 - 8;Vålerenga
1;18.04.2018;18.00;Ullern;3 - 5;Stabæk
1;18.04.2018;18.00;Frigg Oslo;0 - 3;Strømmen
1;18.04.2018;18.00;Lommedalen;0 - 2;Skeid
1;18.04.2018;18.00;Korsvoll;0 - 1;Lørenskog
1;18.04.2018;18.00;Oppsal;0 - 4;Kongsvinger
1;18.04.2018;18.00;Bærum;2 - 1;Drøbak-Frogn
1;18.04.2018;18.00;Kløfta;0 - 3;Lillestrøm
1;18.04.2018;18.00;Gjelleråsen;0 - 3;Ullensaker/Kisa
1;18.04.2018;18.00;Eidsvold TF;1 - 3;Kjelsås
1;18.04.2018;18.00;Grorud;2 - 0;FK Tønsberg
1;18.04.2018;18.00;Asker;5 - 0;Follo
1;18.04.2018;18.00;Raufoss;6 - 0;Skjetten
1;18.04.2018;18.00;Nybergsund;0 - 1;Elverum
1;18.04.2018;18.00;Vestfossen;1 - 4;Strømsgodset
1;18.04.2018;18.00;Lillehammer;0 - 2;Hønefoss
1;18.04.2018;18.00;Ørn Horten;3 - 1;Lyn
1;18.04.2018;18.00;Eik Tønsberg;1 - 6;Sandefjord Fotball
1;18.04.2018;18.00;Flint;2 - 4;Mjøndalen
1;18.04.2018;18.00;Halsen;0 - 4;Fram Larvik
1;18.04.2018;18.00;Skarphedin;0 - 9;Odd
1;18.04.2018;18.00;Pors;1 - 2;Notodden
1;18.04.2018;18.00;Vigør;1 - 8;Start
1;18.04.2018;18.00;Vindbjart;1 - 2;Jerv
1;18.04.2018;18.00;Arendal Fotball;2 - 0;Flekkerøy
1;18.04.2018;18.00;Eiger;0 - 1;Egersund
1;18.04.2018;18.00;Staal Jørpeland;0 - 1;Bryne
1;18.04.2018;18.00;Sola;2 - 3;Sandnes Ulf
1;18.04.2018;18.00;Vidar;5 - 1;Vardeneset
1;18.04.2018;18.00;Madla;0 - 2;Viking
1;18.04.2018;18.00;Skjold;0 - 3;Haugesund
1;18.04.2018;18.00;Os;1 - 6;Åsane
1;18.04.2018;18.00;Øystese;1 - 4;Sogndal
1;18.04.2018;18.00;Sotra;6 - 4;Vard Haugesund
1;18.04.2018;18.00;Arna-Bjørnar;1 - 4;Lysekloster
1;18.04.2018;18.00;Fana;0 - 1;Nest-Sotra
1;18.04.2018;18.00;Tertnes;0 - 1;Fyllingsdalen
1;18.04.2018;18.00;Fjøra;2 - 3;Florø
1;18.04.2018;18.00;Bergsøy;2 - 1;Aalesund
1;18.04.2018;18.00;Herd;1 - 4;Brattvåg
1;18.04.2018;18.00;Volda;0 - 1;Hødd
1;18.04.2018;18.00;Træff;1 - 6;Molde
1;18.04.2018;18.00;Sunndal;0 - 4;Kristiansund
1;18.04.2018;18.00;Kvik;0 - 1;Ranheim TF
1;18.04.2018;18.00;Stjørdals-Blink;6 - 0;Kolstad
1;18.04.2018;18.00;Orkla;2 - 1;Nardo
1;18.04.2018;18.00;Byåsen TF;0 - 3;Levanger
1;18.04.2018;18.00;Steinkjer;4 - 2;Strindheim TF
1;18.04.2018;18.00;Sortland;1 - 2;Mjølner
1;18.04.2018;18.00;Fløya;1 - 3;Tromsdalen
1;18.04.2018;18.00;Senja;2 - 1;Finnsnes
1;18.04.2018;18.00;Skjervøy;1 - 3;Tromsø
1;18.04.2018;18.15;Sandviken;1 - 6;Brann
1;18.04.2018;19.00;Valdres;2 - 1;Brumunddal
1;18.04.2018;19.00;Tynset;0 - 3;HamKam
1;18.04.2018;19.00;Junkeren;1 - 0;Mo IL
1;19.04.2018;16.45;Melbo;1 - 4;Bodø/Glimt
1;19.04.2018;18.00;Lokomotiv Oslo;0 - 3;KFUM Oslo
1;19.04.2018;18.00;Trygg/Lade;2 - 4;Rosenborg
2;01.05.2018;18.00;Grorud;0 - 1;Vålerenga
2;01.05.2018;18.00;Kongsvinger;4 - 2;Raufoss
2;01.05.2018;18.00;Orkla;1 - 3;Ranheim TF
2;02.05.2018;16.00;Mjølner;2 - 1;Stjørdals-Blink
2;02.05.2018;17.30;Junkeren;0 - 3;Levanger
2;02.05.2018;18.00;Fredrikstad;1 - 3;Odd
2;02.05.2018;18.00;Skeid;3 - 0;Sandefjord Fotball
2;02.05.2018;18.00;Kjelsås;0 - 3;Ullensaker/Kisa
2;02.05.2018;18.00;Strømmen;1 - 2;Bærum
2;02.05.2018;18.00;HamKam;4 - 0;Hønefoss
2;02.05.2018;18.00;Elverum;2 - 3;KFUM Oslo
2;02.05.2018;18.00;Valdres;1 - 3;Strømsgodset
2;02.05.2018;18.00;Ørn Horten;0 - 6;Sarpsborg 08
2;02.05.2018;18.00;Fram Larvik;1 - 1;Mjøndalen
2;02.05.2018;18.00;Notodden;3 - 0;Asker
2;02.05.2018;18.00;Arendal Fotball;0 - 3;Start
2;02.05.2018;18.00;Egersund;2 - 1;Jerv
2;02.05.2018;18.00;Sandnes Ulf;1 - 0;Vidar
2;02.05.2018;18.00;Sotra;0 - 4;Brann
2;02.05.2018;18.00;Lysekloster;1 - 2;Haugesund
2;02.05.2018;18.00;Nest-Sotra;9 - 8;Åsane
2;02.05.2018;18.00;Fyllingsdalen;2 - 1;Sogndal
2;02.05.2018;18.00;Hødd;1 - 0;Florø
2;02.05.2018;18.00;Bergsøy;0 - 6;Kristiansund
2;02.05.2018;18.00;Brattvåg;1 - 0;Molde
2;02.05.2018;18.00;Steinkjer;0 - 5;Rosenborg
2;02.05.2018;18.00;Harstad;2 - 5;Bodø/Glimt
2;02.05.2018;18.00;Alta;3 - 1;Tromsdalen
2;02.05.2018;18.15;Senja;0 - 1;Tromsø
2;02.05.2018;19.00;Bryne;1 - 0;Viking
2;03.05.2018;18.00;Moss;0 - 1;Stabæk
2;03.05.2018;18.00;Lørenskog;1 - 5;Lillestrøm
3;09.05.2018;18.00;KFUM Oslo;1 - 3;Lillestrøm
3;09.05.2018;18.00;Bærum;0 - 3;Strømsgodset
3;09.05.2018;18.00;Ullensaker/Kisa;3 - 2;Kongsvinger
3;09.05.2018;18.00;Mjøndalen;2 - 0;Stabæk
