1;09.05.2021;18.00;Molde;2 - 0;Kristiansund
1;09.05.2021;18.00;Viking;3 - 1;Brann
1;09.05.2021;18.00;Bodø/Glimt;3 - 0;Tromsø
1;09.05.2021;20.00;Vålerenga;1 - 1;Rosenborg
1;21.07.2021;19.00;Stabæk;2 - 3;Lillestrøm
1;21.07.2021;19.00;Sandefjord Fotball;1 - 1;Haugesund
1;21.07.2021;19.00;Sarpsborg 08;1 - 1;Mjøndalen
1;21.07.2021;19.00;Strømsgodset;3 - 0;Odd
2;12.05.2021;18.00;Kristiansund;0 - 2;Bodø/Glimt
2;12.05.2021;20.00;Brann;0 - 3;Vålerenga
2;13.05.2021;18.00;Tromsø;3 - 3;Molde
2;13.05.2021;20.00;Rosenborg;5 - 0;Viking
2;28.07.2021;19.00;Mjøndalen;1 - 2;Stabæk
2;28.07.2021;19.00;Lillestrøm;2 - 0;Sarpsborg 08
2;28.07.2021;19.00;Haugesund;2 - 1;Strømsgodset
2;28.07.2021;19.00;Odd;2 - 3;Sandefjord Fotball
3;16.05.2021;15.00;Viking;0 - 1;Tromsø
3;16.05.2021;15.00;Sarpsborg 08;0 - 0;Haugesund
3;16.05.2021;15.00;Vålerenga;1 - 2;Kristiansund
3;16.05.2021;18.00;Strømsgodset;3 - 1;Lillestrøm
3;16.05.2021;18.00;Bodø/Glimt;2 - 2;Rosenborg
3;16.05.2021;18.00;Sandefjord Fotball;0 - 3;Mjøndalen
3;16.05.2021;20.00;Molde;4 - 0;Brann
3;19.05.2021;20.00;Stabæk;2 - 2;Odd
4;24.05.2021;15.00;Odd;1 - 1;Sarpsborg 08
4;24.05.2021;18.00;Brann;1 - 2;Bodø/Glimt
4;24.05.2021;18.00;Lillestrøm;1 - 3;Viking
4;24.05.2021;18.00;Mjøndalen;1 - 1;Vålerenga
4;24.05.2021;18.00;Haugesund;0 - 0;Stabæk
4;24.05.2021;18.00;Tromsø;1 - 3;Sandefjord Fotball
4;24.05.2021;18.00;Kristiansund;1 - 0;Strømsgodset
4;24.05.2021;20.00;Rosenborg;2 - 3;Molde
5;27.05.2021;18.00;Sarpsborg 08;0 - 1;Kristiansund
5;27.05.2021;18.00;Lillestrøm;1 - 0;Odd
5;27.05.2021;18.00;Strømsgodset;1 - 1;Tromsø
5;27.05.2021;18.00;Sandefjord Fotball;1 - 2;Rosenborg
5;27.05.2021;18.00;Viking;2 - 1;Mjøndalen
5;27.05.2021;18.00;Bodø/Glimt;2 - 0;Haugesund
5;27.05.2021;18.00;Stabæk;2 - 0;Brann
5;27.05.2021;20.00;Molde;2 - 3;Vålerenga
6;30.05.2021;15.00;Mjøndalen;0 - 0;Molde
6;30.05.2021;18.00;Rosenborg;4 - 2;Stabæk
6;30.05.2021;18.00;Vålerenga;3 - 1;Sandefjord Fotball
6;30.05.2021;18.00;Odd;1 - 0;Bodø/Glimt
6;30.05.2021;18.00;Brann;3 - 0;Strømsgodset
6;30.05.2021;18.00;Kristiansund;1 - 0;Lillestrøm
6;30.05.2021;18.00;Tromsø;0 - 2;Sarpsborg 08
6;30.05.2021;20.00;Haugesund;4 - 2;Viking
7;12.06.2021;15.00;Kristiansund;2 - 0;Odd
7;12.06.2021;15.00;Sandefjord Fotball;1 - 3;Molde
7;13.06.2021;18.00;Lillestrøm;2 - 1;Haugesund
7;13.06.2021;18.00;Bodø/Glimt;2 - 0;Mjøndalen
7;13.06.2021;18.00;Strømsgodset;2 - 1;Rosenborg
7;13.06.2021;18.00;Sarpsborg 08;0 - 0;Brann
7;13.06.2021;20.00;Viking;4 - 1;Vålerenga
7;14.06.2021;19.00;Stabæk;0 - 3;Tromsø
8;19.06.2021;15.00;Sandefjord Fotball;3 - 0;Viking
8;20.06.2021;15.00;Mjøndalen;1 - 1;Strømsgodset
8;20.06.2021;18.00;Tromsø;1 - 2;Lillestrøm
8;20.06.2021;18.00;Brann;1 - 3;Odd
8;20.06.2021;18.00;Rosenborg;0 - 1;Sarpsborg 08
8;20.06.2021;18.00;Molde;2 - 1;Stabæk
8;20.06.2021;18.00;Haugesund;3 - 0;Kristiansund
8;20.06.2021;20.00;Vålerenga;1 - 1;Bodø/Glimt
9;24.06.2021;18.00;Odd;3 - 0;Tromsø
9;24.06.2021;18.00;Strømsgodset;4 - 0;Sandefjord Fotball
9;24.06.2021;18.00;Haugesund;1 - 0;Brann
9;24.06.2021;18.00;Bodø/Glimt;0 - 2;Molde
9;24.06.2021;18.00;Kristiansund;1 - 1;Mjøndalen
9;24.06.2021;20.00;Stabæk;0 - 2;Vålerenga
9;25.06.2021;18.00;Sarpsborg 08;1 - 2;Viking
9;25.06.2021;20.00;Lillestrøm;2 - 0;Rosenborg
10;30.06.2021;18.00;Rosenborg;0 - 0;Haugesund
10;30.06.2021;18.00;Sandefjord Fotball;1 - 0;Bodø/Glimt
10;30.06.2021;18.00;Viking;3 - 3;Stabæk
10;30.06.2021;18.00;Molde;3 - 0;Strømsgodset
10;30.06.2021;18.00;Tromsø;0 - 0;Kristiansund
10;30.06.2021;20.00;Brann;1 - 1;Lillestrøm
10;01.07.2021;18.00;Mjøndalen;1 - 2;Odd
10;01.07.2021;20.00;Vålerenga;4 - 1;Sarpsborg 08
11;03.07.2021;15.00;Bodø/Glimt;2 - 2;Viking
11;04.07.2021;15.00;Stabæk;0 - 2;Sandefjord Fotball
11;04.07.2021;18.00;Odd;2 - 2;Rosenborg
11;04.07.2021;18.00;Haugesund;3 - 0;Tromsø
11;04.07.2021;18.00;Lillestrøm;2 - 1;Mjøndalen
11;04.07.2021;18.00;Sarpsborg 08;1 - 0;Molde
11;04.07.2021;20.00;Strømsgodset;1 - 1;Vålerenga
11;05.07.2021;19.00;Kristiansund;3 - 2;Brann
12;27.06.2021;18.00;Bodø/Glimt;4 - 1;Stabæk
12;10.07.2021;18.00;Sandefjord Fotball;2 - 0;Sarpsborg 08
12;10.07.2021;18.00;Viking;1 - 1;Strømsgodset
12;10.07.2021;18.00;Mjøndalen;3 - 0;Haugesund
12;10.07.2021;18.00;Rosenborg;1 - 0;Kristiansund
12;10.07.2021;20.00;Brann;1 - 1;Tromsø
12;11.07.2021;15.30;Vålerenga;2 - 2;Lillestrøm
12;11.07.2021;18.00;Molde;5 - 0;Odd
13;17.07.2021;18.00;Odd;3 - 2;Viking
13;17.07.2021;20.00;Sarpsborg 08;2 - 2;Bodø/Glimt
13;18.07.2021;18.00;Brann;1 - 1;Mjøndalen
13;18.07.2021;18.00;Tromsø;1 - 3;Rosenborg
13;18.07.2021;18.00;Lillestrøm;1 - 1;Molde
13;18.07.2021;18.00;Haugesund;3 - 1;Vålerenga
13;18.07.2021;18.00;Kristiansund;2 - 0;Sandefjord Fotball
13;18.07.2021;20.00;Strømsgodset;2 - 1;Stabæk
14;20.05.2021;20.30;Rosenborg;3 - 2;Brann
14;16.06.2021;18.00;Bodø/Glimt;7 - 2;Strømsgodset
14;16.06.2021;20.00;Vålerenga;1 - 1;Odd
14;08.08.2021;18.00;Molde;5 - 4;Haugesund
14;08.08.2021;18.00;Viking;3 - 2;Kristiansund
14;08.08.2021;18.00;Mjøndalen;2 - 3;Tromsø
14;08.08.2021;18.00;Sandefjord Fotball;1 - 1;Lillestrøm
14;08.08.2021;20.00;Stabæk;3 - 1;Sarpsborg 08
15;14.08.2021;18.00;Kristiansund;5 - 1;Stabæk
15;14.08.2021;20.00;Sarpsborg 08;1 - 0;Strømsgodset
15;15.08.2021;18.00;Viking;3 - 2;Molde
15;15.08.2021;18.00;Lillestrøm;0 - 1;Bodø/Glimt
15;15.08.2021;18.00;Tromsø;1 - 1;Vålerenga
15;15.08.2021;18.00;Mjøndalen;1 - 2;Rosenborg
15;15.08.2021;18.00;Odd;4 - 2;Haugesund
15;15.08.2021;20.00;Brann;3 - 2;Sandefjord Fotball
16;16.06.2021;18.00;Molde;4 - 1;Sarpsborg 08
16;21.08.2021;18.00;Stabæk;1 - 1;Mjøndalen
16;21.08.2021;20.00;Strømsgodset;3 - 1;Brann
16;22.08.2021;18.00;Bodø/Glimt;3 - 0;Kristiansund
16;22.08.2021;18.00;Haugesund;0 - 3;Lillestrøm
16;22.08.2021;18.00;Vålerenga;1 - 1;Viking
16;22.08.2021;18.00;Sandefjord Fotball;1 - 1;Tromsø
16;22.08.2021;20.00;Rosenborg;5 - 0;Odd
